player,position,team,goals,shots,shots_on_target,goals/shots,goals/shots_on_target,average_shot_distance,shots_from_free_kicks,shots_from_penalties,non_penalty_expected_goals/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
Patrick van Aanholt,DF,Crystal Palace,18,5,0,0,21.1,3,0,1.4,0.08,-1.4,-1.4
Tammy Abraham,FW,Chelsea,32,13,0.19,0.46,10.7,0,0,5.9,0.18,0.1,0.1
Che Adams,FW,Southampton,55,31,0.16,0.29,13.8,0,0,9.8,0.18,-0.8,-0.8
Tosin Adarabioyo,DF,Fulham,18,5,0,0,10.5,0,0,1.1,0.06,-1.1,-1.1
Adrián,GK,Liverpool,0,0,,,,0,0,0,,0,0
Sergio Agüero,FW,Manchester City,17,10,0.18,0.3,14.6,0,1,1.9,0.11,0.5,1.1
Ola Aina,DF,Fulham,14,4,0.14,0.5,24.6,1,0,1.2,0.09,0.8,0.8
Rayan Aït Nouri,DF,Wolves,15,6,0.07,0.17,19.8,0,0,0.6,0.04,0.4,0.4
Semi Ajayi,DF,West Brom,13,4,0.15,0.5,9.8,0,0,1.9,0.15,0.1,0.1
Nathan Aké,DF,Manchester City,3,1,0.33,1,15.5,0,0,0.3,0.09,0.7,0.7
Marc Albrighton,"DF,FW",Leicester City,21,9,0.05,0.11,21.2,0,0,1.2,0.06,-0.2,-0.2
Thiago Alcántara,MF,Liverpool,22,5,0.05,0.2,23.3,1,0,1.2,0.06,-0.2,-0.2
Toby Alderweireld,DF,Tottenham,10,3,0.1,0.33,8.5,0,0,0.7,0.07,0.3,0.3
Rúnar Alex Rúnarsson,GK,Arsenal,0,0,,,,0,0,0,,0,0
Trent Alexander-Arnold,DF,Liverpool,55,12,0.04,0.17,24.9,18,0,2.6,0.05,-0.6,-0.6
Ezgjan Alioski,"DF,MF",Leeds United,25,8,0.08,0.25,19,0,0,1.6,0.06,0.4,0.4
Alisson,GK,Liverpool,1,1,1,1,8.4,0,0,0.1,0.09,0.9,0.9
Allan,MF,Everton,7,2,0,0,22.4,0,0,0.3,0.04,-0.3,-0.3
Dele Alli,MF,Tottenham,12,4,0,0,15.4,0,0,2,0.17,-2,-2
Miguel Almirón,"MF,FW",Newcastle Utd,33,14,0.12,0.29,19.2,1,0,3.2,0.1,0.8,0.8
Marcos Alonso,DF,Chelsea,22,9,0.09,0.22,17.6,5,0,1.8,0.08,0.2,0.2
Steven Alzate,MF,Brighton,7,2,0.14,0.5,18.7,0,0,0.8,0.12,0.2,0.2
Daniel Amartey,DF,Leicester City,3,1,0.33,1,10.6,0,0,0.4,0.12,0.6,0.6
Ethan Ampadu,"DF,MF",Sheffield Utd,7,2,0,0,19.3,0,0,0.3,0.05,-0.3,-0.3
Joachim Andersen,DF,Fulham,13,3,0.08,0.33,16.4,1,0,1.2,0.09,-0.2,-0.2
Elliot Anderson,MF,Newcastle Utd,0,0,,,,0,0,0,,0,0
Felipe Anderson,"FW,MF",West Ham,0,0,,,,0,0,0,,0,0
Michail Antonio,FW,West Ham,63,22,0.16,0.45,13.4,0,0,12.9,0.22,-2.9,-2.9
Alphonse Areola,GK,Fulham,0,0,,,,0,0,0,,0,0
Stuart Armstrong,MF,Southampton,55,11,0.07,0.36,21.6,0,0,2.7,0.05,1.3,1.3
Kepa Arrizabalaga,GK,Chelsea,0,0,,,,0,0,0,,0,0
Pierre-Emerick Aubameyang,FW,Arsenal,55,19,0.15,0.42,14,0,2,8.6,0.16,-0.2,-0.6
Serge Aurier,DF,Tottenham,15,6,0.13,0.33,17.5,0,0,1.1,0.07,0.9,0.9
Charlie Austin,"FW,MF",West Brom,3,0,0,,20.3,0,0,0.4,0.15,-0.4,-0.4
Jordan Ayew,"FW,MF",Crystal Palace,26,11,0.04,0.09,17.6,0,0,2.2,0.08,-1.2,-1.2
Luke Ayling,DF,Leeds United,24,6,0,0,18.7,0,0,1.7,0.07,-1.7,-1.7
César Azpilicueta,DF,Chelsea,11,4,0.09,0.25,16.9,0,0,0.7,0.06,0.3,0.3
Eric Bailly,DF,Manchester Utd,2,0,0,,11.2,0,0,0.1,0.05,-0.1,-0.1
Fabián Balbuena,DF,West Ham,8,2,0.13,0.5,10,0,0,0.7,0.08,0.3,0.3
